Variable,Value,Scoring
Q1,1,0
Q1,2,0.073
Q1,6,0.073
Q1,3,0.435
Q1,4,0.82
Q1,5,1
Q2,1,0
Q2,2,0.033
Q2,3,0.24
Q2,4,0.471
Q2,5,0.84
Q2,6,1
Q3,1,0
Q3,2,0.041
Q3,3,0.251
Q3,4,0.57
Q3,5,0.827
Q3,6,1
Q4,1,0
Q4,2,0.04
Q4,3,0.297
Q4,4,0.797
Q4,5,1
Q5,1,0
Q5,2,0.074
Q5,3,0.461
Q5,4,0.841
Q5,5,1
Q6,1,0
Q6,2,0.193
Q6,3,0.759
Q6,4,1
Q7,1,0
Q7,2,0.197
Q7,3,0.648
Q7,4,1
Q8,1,0
Q8,2,0.133
Q8,3,0.392
Q8,4,0.838
Q8,5,1
Q9,1,0
Q9,2,0.142
Q9,3,0.392
Q9,4,0.824
Q9,5,1
Q10,1,0
Q10,2,0.097
Q10,3,0.33
Q10,4,0.784
Q10,5,1
Q11,1,0
Q11,2,0.064
Q11,3,0.368
Q11,4,0.837
Q11,5,1
Q12,1,0
Q12,2,0.056
Q12,3,0.338
Q12,4,0.722
Q12,5,1
Q13,1,0
Q13,2,0.055
Q13,3,0.382
Q13,4,0.774
Q13,5,1
Q14,1,0
Q14,2,0.057
Q14,3,0.423
Q14,4,0.826
Q14,5,1
Q15,1,0
Q15,2,0.133
Q15,3,0.642
Q15,4,1
Q16,1,0
Q16,2,0.2
Q16,3,0.758
Q16,4,1
Q17,1,0
Q17,2,0.072
Q17,3,0.338
Q17,4,0.752
Q17,5,1
Q18,1,0
Q18,2,0.033
Q18,3,0.223
Q18,4,0.622
Q18,5,0.843
Q18,6,1
Q19,1,0
Q19,2,0.024
Q19,3,0.205
Q19,4,0.586
Q19,5,0.826
Q19,6,1
Q20,1,0
Q20,2,0.187
Q20,3,0.695
Q20,4,1